route_id,source,source_country,load_port,region,primary_discharge_port,approach,vessel_class,distance_nm,distance_km,transit_days,chokepoint,chokepoint_primary,chokepoints_all,hormuz_dependent,cost_usd_per_barrel,capacity_kbd
R032,Saudi Arabia (Yanbu (Red Sea)),Saudi Arabia,Yanbu (Red Sea),Persian Gulf,Jamnagar,west,VLCC,2650,4908,11,bab_el_mandeb,bab_el_mandeb,bab_el_mandeb,0,73.41,220
R033,UAE (Das Island),UAE,Das Island,Persian Gulf,Vadinar,west,VLCC,1060,1963,6,hormuz,hormuz,hormuz,1,72.05,120
R034,UAE (Fujairah (ADCOP)),UAE,Fujairah (ADCOP),Persian Gulf,Jamnagar,west,VLCC,860,1593,5,none,none,none,0,73.32,250
R035,UAE (Jebel Dhanna),UAE,Jebel Dhanna,Persian Gulf,Jamnagar,west,VLCC,1065,1972,6,hormuz,hormuz,hormuz,1,73.85,320
R036,UAE (Zirku Island),UAE,Zirku Island,Persian Gulf,Mundra,west,Suezmax,1130,2093,6,hormuz,hormuz,hormuz,1,73.71,60
R037,Egypt (Ras Gharib),Egypt,Ras Gharib,Red Sea,Jamnagar,west,Aframax,2960,5482,12,bab_el_mandeb,bab_el_mandeb,bab_el_mandeb,0,72.59,40
R038,Sudan (Port Sudan),Sudan,Port Sudan,Red Sea,Mangalore,west,Aframax,2850,5278,11,bab_el_mandeb,bab_el_mandeb,bab_el_mandeb,0,69.97,30
R039,Azerbaijan (Ceyhan (BTC)),Azerbaijan,Ceyhan (BTC),Russia/FSU,Jamnagar,west,Suezmax,3550,6575,15,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,77.72,60
R040,Kazakhstan (CPC Novorossiysk),Kazakhstan,CPC Novorossiysk,Russia/FSU,Jamnagar,west,Suezmax,4230,7834,18,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,77.03,100
R041,Kazakhstan (Ceyhan (BTC)),Kazakhstan,Ceyhan (BTC),Russia/FSU,Vadinar,west,Suezmax,3600,6667,15,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,75.97,40
R042,Russia (De-Kastri (Far East)),Russia,De-Kastri (Far East),Russia/FSU,Chennai,east,Aframax,4350,8056,16,malacca,malacca,malacca,0,70.67,180
R043,Russia (Kozmino (Far East)),Russia,Kozmino (Far East),Russia/FSU,Paradip,east,Aframax,4350,8056,16,malacca,malacca,malacca,0,69.37,620
R044,Russia (Murmansk (Arctic)),Russia,Murmansk (Arctic),Russia/FSU,Vadinar,west,Aframax,7600,14075,27,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,68.85,40
R045,Russia (Novorossiysk (Black Sea)),Russia,Novorossiysk (Black Sea),Russia/FSU,Jamnagar,west,Aframax,4230,7834,17,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,69.22,650
R046,Russia (Prigorodnoye (Sakhalin)),Russia,Prigorodnoye (Sakhalin),Russia/FSU,Chennai,east,Aframax,4250,7871,16,malacca,malacca,malacca,0,71.21,110
R047,Russia (Primorsk (Baltic)),Russia,Primorsk (Baltic),Russia/FSU,Vadinar,west,Suezmax,7730,14316,29,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,68.67,900
R048,Russia (Ust-Luga (Baltic)),Russia,Ust-Luga (Baltic),Russia/FSU,Jamnagar,west,Suezmax,7670,14205,29,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,68.64,700
R049,Angola (Cabinda),Angola,Cabinda,West Africa,Jamnagar,west,VLCC,6450,11945,23,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,74.43,160
R050,Angola (Girassol FPSO),Angola,Girassol FPSO,West Africa,Vadinar,west,VLCC,6400,11853,23,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,74.00,110
R051,Angola (Plutonio FPSO),Angola,Plutonio FPSO,West Africa,Mangalore,west,Suezmax,6900,12779,24,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,75.27,80
R052,Cameroon (Kole),Cameroon,Kole,West Africa,Mangalore,west,Aframax,7850,14538,26,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,76.34,30
R053,Congo (Djeno),Congo,Djeno,West Africa,Mangalore,west,Suezmax,7100,13149,25,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,73.09,60
R054,Equatorial Guinea (Zafiro FPSO),Equatorial Guinea,Zafiro FPSO,West Africa,Kochi,west,Suezmax,7950,14723,27,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,75.03,40
R055,Gabon (Cape Lopez),Gabon,Cape Lopez,West Africa,Kochi,west,Suezmax,7550,13983,26,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,76.51,55
R056,Nigeria (Bonny),Nigeria,Bonny,West Africa,Jamnagar,west,Suezmax,7075,13103,25,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,77.73,140
R057,Nigeria (Escravos),Nigeria,Escravos,West Africa,Kochi,west,Suezmax,8050,14909,28,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,77.80,50
R058,Nigeria (Forcados),Nigeria,Forcados,West Africa,Vadinar,west,Suezmax,7300,13520,25,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,77.12,90
R059,Nigeria (Qua Iboe),Nigeria,Qua Iboe,West Africa,Mangalore,west,Suezmax,8000,14816,27,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,78.26,70
